"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-11","72","77","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-12","76","81","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-13","73","79","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-14","69","77","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-15","66","72","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-16","60","66","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-17","61","69","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-18","67","75","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-19","67","71","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-20","73","82","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-21","68","74","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-22","62","68","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-23","64","68","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-24","67","75","58"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-25","57","63","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-26","52","54","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-27","58","68","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-28","58","67","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-29","51","59","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-30","57","65","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-01","61","69","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-02","62","69","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-03","70","79","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-04","65","72","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-05","61","66","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-06","64","71","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-07","54","61","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-08","48","54","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-09","44","50","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-10","43","50","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-11","57","66","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-12","60","69","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-13","63","72","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-14","68","77","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-15","69","76","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-16","58","66","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-17","54","57","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-18","56","59","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-19","57","64","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-20","56","65","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-21","63","73","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-22","56","63","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-23","51","59","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-24","58","66","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-25","63","72","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-26","63","70","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-27","61","66","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-28","52","62","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-29","41","46","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10-30","43","50","36"
